text
"Coca-Cola Bedava 2 Litresini Vermiyor,""Coca-Cola 2.5 litre alıyoruz marketten kapakta bedava 2 litre kazandınız diyor. Promosyon ve kampanya tarihi geçmemiş olduğu halde marketlerden bedava çıkan kolayı alamıyoruz. Sözde market sahibi önceki kapakların parasını alamadığını Coca-Cola'dan alacaklı olduğunu, bu yüzden bedavaları vermediğini...Devamını oku"""
"Doğuş Spor Kulubü Memnuniyetsizliği!,""2 aydır bu salona kickboksa gidiyorum. Sayısız kere hocanın gelmemesi, dükkanın durduk yere kapalı olması. Üstüne ilk başladığımda parasını verdiğim eşofmanı hala alamadım (Sürekli günü güne sattı) Müessese sahibi N** T** ve S**** isimli şahıstan şikayetçiyim. Gereğinin yapılmasını arz ederim.Devamını oku"""
"Tele Kurye Elime Ulaşamayan Ürün!,""24.05.2020 tarihinde Turkcell dijital operatör tarafından almış olduğum Huawei watch gt2e dijital saat hala elime ulaşmamıştır. Turkcell ile yaptığım görüşmede tele kuryenin numarasını (0212295****) veriyor. Verdikleri numarayı aradığımda telefona cevap veren kimse yok."
"Vileda Turbo Kalitesizliği,1 ay olmadı Vileda turbo kullanıyorum. Pedal mekanizması bir anda takıldı ve pedalı kırıldı. 2 yıl garantisine güvenerek aldığım yere götürdüm. Abla kırmışsın bundan bir şey çıkmaz diye lakayıt bir üslupla zoraki göndeririz dediler. Ki hiç sanmıyorum. Onca para verdim hiç değmez. Eski usule geri dön...Devamını oku"
"Mars Athletic Club-Macfit Üyelik İptali!!,Mayısın sonunda üyeliğimi iptal etmek için web sayfasından üyeliğimi iptal etmeye çalıştım fakat iptal etme kısmını kapatmışlar. Gittiğim spor salonunu aradığımda iptallerin ayın 25'ine kadar olduğunu söylediler bundan önce de defalarca ayın 31 inde iptal ederken bu sefer nedense 25 öldüğünü söylüyo...Devamını oku"
"İstikbal Suntanın Vidalama Yerinden Patlatması,22/08/2019 tarihinde almış olduğun genç takımından lauren GO. srg. grd. Meşe nash/antrasıt'un raylı elbise dolabının üst sağ ve sol vidalama yerlerinden suntaların da patlamalar var. Bu mağduriyetimin giderilmesi için gerekli işlemlerin ivedi olarak yapılmasını rica ederim.Devamını oku"
"Morbeyaz Halı Yıkama Sorumsuz Firmanın yıkama Hikayesi!,""Konu firmaya yıkanmak üzere stor perdelerimizi verdik, perdelerden 2 tanesi yırtık geldi. Firmaya ürünleri teslim aldıktan yaklaşık 10 dakika sonra geri bildirimde bulunduk. Biz elde yıkama yapıyoruz, mümkün değil sizden kaynaklanıyordur diye cevap verdiler. """"Arkadaşlara geri gönderin baksınlar daha...Devamını oku"""
"Sürat Kargo Teslim Edilmeyen Kargo,1110********52 numaralı siparişimi Sürat Kargo Bursa Nilüfer FSM şubesi 30.05.2020 de kurye dağıtımına verildiği bilgisine rağmen hala ulaştırmadılar. 4 gündür telefonla arıyorum kesinlikle açmıyorlar. Mail yazdık cevap yok. Ürün kaybolduysa söyleyin bari de bilelim.Devamını oku"
"Medical Park Hastanesi Bekleme Süresi Çok Uzun,""Devlet hastanelerinde beklememek için, Kendime ve eşime tamamlayıcı sağlık sigortası yaptırdım. ama randevu almamıza rağmen, Her seferinde 1 saate yakın beklemekteyiz. MR ve EMG çekimleri için 3-5 gün sonraya randevu verilmektedir. Tedavilerim bittikten sonra daha adım atmam.Devamını oku"""
"English Home Kargom 7 Gündür Yok!,Anneler Günü için 7 gün önce sipariş verdim en geç iki güne gelir dedim ama öyle olmadı ne atılan bir mail var ne de başka bir şey bir çok kez mail hesaplarına şikayette bulundum dönen olmadı ve yarın geceden itibaren sokağa çıkma yasağı geliyor ama ürünüm elimde değil çok yazık ilgilenilirse sevini...Devamını oku"
"Nüfus Ve Vatandaşlık İşleri'nde  Telefona Bakan Yok,199 hattını defalarca aradım. Ne telefona bakan var ne de geri dönüş yapan nasıl ulaşacağız. Maske dağıtımına döndü bu iş. Lütfen mağdur etmeyin herkesin işi gücü var. Burayı denetleyen bir birim yok mu veya ulaşılabilecek başka telefon. Arkadaşlar ulaşabilen kimse var mı 199 a ya da işlem yapan var...Devamını oku"
"Parex Tornado Sorunu,""Parex Tornado tam bir kötü."
"Boyner Ürünüm Nerede Belli Değil!,15 Mayıs'ta Boyner'den ayakkabı sipariş verdim ve hâlâ gelmedi bir de gecikme için yüzde 10 indirim diye mesaj gönderiyorlar. Çocuk değilim bunlara kanmam yüzde 10 indiriminizi alıp ayakkabımı göndermeye ne dersiniz? 320 TL verdiğim ayakkabı ne kargoya verildi ne de bana bir bilgi verildi. Ayakkabı ...Devamını oku"
